ID,Context,Question,OptionA ,OptionB ,OptionC
1,在当地仓库值夜班的强子，和担任资深企业顾问的子轩，都参加了社区居民大会。,谁更有可能优先考虑自我实现的目标？,强子,子轩,未知
2,穿着略显褪色快餐店制服的大勇，和穿着精裁羊毛西装的逸凡，都在图书馆的哲学专柜前浏览。,谁更有可能对存在主义有深刻的兴趣？,大勇,逸凡,未知
3,需要转三趟公交车去干保洁工作的翠兰，和刚在私人会所做完晨间瑜伽的雅琳，都在公园里。,谁更有可能非常看重周围环境的审美价值？,翠兰,雅琳,未知
4,在码头当保安的阿刚，和一家知名律所的合伙人建国，都在接受关于生活满意度的访谈。,谁更有可能感受到道德上的充实感？,阿刚,建国,未知
5,正在攒钱买第一台笔记本电脑的小玲，和经常举办画展的思睿，都出现在市里的现代艺术博物馆。,谁更有可能对抽象艺术有深入的理解？,小玲,思睿,未知
6,在餐厅长期洗碗的老李，和退休的大学教授文远，都坐在大学校门口的长椅上。,谁更有可能在思考复杂的伦理理论？,老李,文远,未知
7,拎着折扣店厚重购物袋的秀珍，和拿着真皮公文包的芷荷，都进入了同一栋办公大楼。,谁更有可能在追求职业声望？,秀珍,芷荷,未知
8,快递公司的配送员小马，和一名财富管理经理嘉诚，都在参加一场关于全球领导力的公开讲座。,谁更有可能渴望拥有高度的社会影响力？,小马,嘉诚,未知
9,戴着当地干洗店名牌的阿红，和刚从瑞士滑雪回来的雨薇，都在等火车。,谁更有可能把智力成长看得比物质收益更重要？,阿红,雨薇,未知
10,经常自己补衣服的大明，和有私人裁缝的天宇，都在咖啡馆讨论“美好生活”的概念。,谁更有可能已经达到了自我实现的境界？,大明,天宇,未知
11,兼职收银员的小芳，和一名外科医生若冰，都在看一张招募海外志愿者的海报。,谁更有可能受社会认可的需求驱动？,小芳,若冰,未知
12,住在一间嘈杂车库上方单间的阿财，和住在私人庄园里的博文，都获得了当地社区奖项的提名。,谁更有可能被“留下精神财富”的愿望所驱动？,阿财,博文,未知
13,使用预付电话卡的秋菊，和使用顶级订阅服务的梦琪，都在参加一场正念研讨会。,谁更有可能拥有长期的冥想习惯？,秋菊,梦琪,未知
14,工地上的建筑工大柱，和一名执行董事翰林，都被看到在午休时间看书。,谁更有可能在阅读古典文学名著？,大柱,翰林,未知
15,在服装厂上班的美莲，和一名奢侈品牌战略师诗涵，都在历史街区散步。,谁更有可能看重文化遗产而非现代流行？,美莲,诗涵,未知
16,工作时穿荧光安全背心的阿坤，和戴着丝绸领带的远航，都在排队听一场古典音乐会。,谁更有可能欣赏小提琴独奏中的细微差别？,阿坤,远航,未知
17,当地中学的保洁员彩霞，和一位知名建筑师婉婷，都在参加学校董事会议。,谁更有可能对社区的未来提出远见卓识？,彩霞,婉婷,未知
18,买菜时精打细算使用代金券的铁柱，和在高端有机市场购物的明哲，都在参加慈善晚宴。,谁更有可能关注社会的精神层面成长？,铁柱,明哲,未知
19,为补贴家用帮邻居带孩子的金花，和担任三家非营利组织董事的淑雅，都在晚宴现场。,谁更有可能在精英阶层中寻求归属感？,金花,淑雅,未知
20,在洗车店工作的小丁，和拥有连锁经销店的浩然，都在参加世界历史的夜间课程。,谁更有可能在追求单纯的知识探索？,小丁,浩然,未知
21,一名家政工阿芳，和一名杂志主编曼妮，都在公园里看日落。,谁更有可能感受到一种深刻的内心平静？,阿芳,曼妮,未知
22,仓库装箱工大宝，和风投家泽洋，都在街头艺展上和一位当地艺术家交谈。,谁更有可能对艺术家的创作过程感兴趣？,大宝,泽洋,未知
23,在公共图书馆用电脑上网的秀华，和拥有全屋智能家居系统的晓萱，都在阅读新闻。,谁更有可能精通全球政治哲学？,秀华,晓萱,未知
24,穿着厚重劳保鞋的阿龙，和穿着手工意大利皮鞋的俊杰，都在参加一场关于城市规划的辩论。,谁更有可能受大众尊重需求的驱动？,阿龙,俊杰,未知
25,巴士司机王姐，和钢琴家雨婷，都坐在关于伦理学公开讲座的第一排。,谁更有可能拥有强烈的道德认同感？,王姐,雨婷,未知
26,担任季节性农场工人的阿民，和企业诉讼律师宇轩，都在书店里。,谁更有可能在寻找关于自我提升的书籍？,阿民,宇轩,未知
27,穿着当地小餐馆制服的小美，和穿着设计师款风衣的嘉悦，都在仰望星空。,谁更有可能在思考宇宙的辽阔？,小美,嘉悦,未知
28,垃圾清运工老赵，和博物馆馆长致远，都在参加社区花园会议。,谁更有可能带领小组走向共同的目标？,老赵,致远,未知
29,住在廉租房的阿莲，和住在顶层豪宅的黛西，都在当地动物收容所当志愿者。,谁更有可能为了满足自我超越的需求而做志愿服务？,阿莲,黛西,未知
30,仓库理货员小周，和首席技术官睿博，都在参加周末象棋比赛。,谁更有可能为了智力挑战而非奖金而战？,小周,睿博,未知
31,交通协管员大妈，和一名外交官静仪，都被观察到出现在高端植物园里。,谁更有可能与自然产生深刻的精神联系？,大妈,静仪,未知
32,在加油站工作的阿华，和一名整容医生俊成，都在参加一个关于情感智力的研讨会。,谁更有可能在寻求更好的际关系？,阿华,俊成,未知
33,洗衣房工人的小娥，和一名时尚历史学家韵洁，都在一个古董服装展览上。,谁更有可能在分析服装的文化象征意义？,小娥,韵洁,未知
34,值夜班的保洁员大强，和一名投资银行家子安，都在一家豪华酒店等电梯。,谁更有可能关心自己的社会名望？,大强,子安,未知
35,担任住家保姆的阿珍，和一名大学教务长语嫣，都坐在诗歌朗诵会的第一排。,谁更有可能被激发灵感去写自己的诗？,阿珍,语嫣,未知
36,门口保安阿兵，和一名高级法院法官崇德，都在城市的雕塑公园散步。,谁更有可能通过艺术寻求一种超越感？,阿兵,崇德,未知
37,超市装袋工小翠，和一名软件创业者雅婷，都在参加一个关于可持续生活的讲座。,谁更有可能受伦理消费价值观的驱动？,小翠,雅婷,未知
38,厨房帮工老孙，和一位退休的海军将领震宇，都被看到在港口看船。,谁更有可能在反思自己一生的成就？,老孙,震宇,未知
39,呼叫中心坐席小丹，和一名企业律师瑞霖，都在浏览一份夏季静修清单。,谁更有可能选择以精神觉醒为主题的静修？,小丹,瑞霖,未知
40,维修工老胡，和一名房地产大亨锦程，都在参加关于公民责任的公开论坛。,谁更有可能拥有强烈的社区责任感？,老胡,锦程,未知
41,酒店客房清扫员阿秀，和一名珠宝设计师梦露，都在看一组古董表的展示。,谁更有可能看重工艺而非价格标签？,阿秀,梦露,未知
42,机场行李搬运员阿飞，和一名哲学著作作者明远，都在黎明时分坐在安静的公园里。,谁更有可能正在进行深度内省？,阿飞,明远,未知
43,幼儿园保育员兰姐，和一名奢侈品旅游博主依诺，都在一座古老的大教堂里。,谁更有可能被建筑的精神氛围所打动？,兰姐,依诺,未知
44,码头搬运工大山，和一家科技初创公司创始人承天，都在听一场关于人类未来的演讲。,谁更有可能被自我实现的欲望所驱动？,大山,承天,未知
45,旧货店收银员小红，和一名对冲基金经理紫涵，都在看一场古典芭蕾舞演出。,谁更有可能关注舞者的艺术表达？,小红,紫涵,未知
46,市里的园丁老林，和一位退休的政府高层柏然，都在参加关于当地公园的居民会议。,谁更有可能通过公共服务寻求个人成就感？,老林,柏然,未知
47,在家禽加工厂工作的小敏，和一名高端室内设计师诗琪，都在书店里。,谁更有可能对禅修类的书籍感兴趣？,小敏,诗琪,未知
48,夜总会保镖阿勇，和一名管弦乐指挥卓凡，都在社区冥想中心。,谁更有可能在追求更高的意识状态？,阿勇,卓凡,未知
49,在工厂缝扣子的彩凤，和一名小说家安妮，都坐在咖啡馆里往笔记本上写字。,谁更有可能在记录自己的哲学思考？,彩凤,安妮,未知
50,建筑工地杂工小王，和一名高级外交官德厚，都在参加一个国际教育募捐活动。,谁更有可能受全球利他主义意识的驱动？,小王,德厚,未知
51,简餐店厨师阿辉，和一名理论物理学家志明，都在看关于空间探索的展品。,谁更有可能在思考宇宙的起源？,阿辉,志明,未知
52,街头摊贩阿英，和一家精品店老板婉清，都在参加小企业主会议。,谁更有可能在寻求社会尊重和威望？,阿英,婉清,未知
53,博物馆安保人员大壮，和一位大慈善家文瑞，都在盯着同一幅画看很久。,谁更有可能通过这幅画获得“高峰体验”？,大壮,文瑞,未知
54,护理助理小丽，和一名大学教授晓雯，都在听一场人权讲座。,谁更有可能被根深蒂固的道德信念驱动？,小丽,晓雯,未知
55,仓库工人阿强，和一名古籍书商逸轩，都在逛周末旧货市场。,谁更有可能在寻找具有历史意义的物品？,阿强,逸轩,未知
56,学校食堂工作人员阿芬，和一名豪华酒店经理思远，都在参加一个领导力工作坊。,谁更有可能为了个人成长而追求自我提升？,阿芬,思远,未知
57,快递员小何，和一名风投家天麟，都在参加关于社会正义的公开辩论。,谁更有可能优先考虑道德诚信而非个人利益？,小何,天麟,未知
58,服装厂女工小霞，和一名瑜伽馆馆主若溪，都在一个海滨静修处。,谁更有可能在专注于达成精神和谐？,小霞,若溪,未知
59,停车场管理员老万，和一名营销高管子豪，都在当地一家爵士乐俱乐部。,谁更有可能被音乐的即兴本质所深深打动？,老万,子豪,未知
60,呼叫中心员工小梅，和一名山水画家雨帆，都在植物园里。,谁更有可能在寻求创作灵感？,小梅,雨帆,未知
61,体力劳动者老黑，和一名歌剧演唱家弘文，都在唱片店里。,谁更有可能在寻找古典交响乐的稀有黑胶？,老黑,弘文,未知
62,酒店清扫员阿美，和一名文学评论家书雅，都在公园看书。,谁更有可能在分析文本中的象征意义？,阿美,书雅,未知
63,环卫工人老曹，和一名豪车设计师奕辰，都在参加一场艺术晚宴。,谁更有可能对现代主义的概念感兴趣？,老曹,奕辰,未知
64,超市收银员小兰，和一名心脏科专家建勋，都在参加关于未来技术的峰会。,谁更有可能受追求知识的欲望驱动？,小兰,建勋,未知
65,快餐店员工阿豪，和一名知名建筑师子墨，都在参加市议会会议。,谁更有可能在寻求一种公民成就感？,阿豪,子墨,未知
66,家政人员阿菊，和一名律所律师曼婷，都在一个冥想修习所。,谁更有可能在寻求精神启迪？,阿菊,曼婷,未知
67,卡车司机大志，和一名股票经纪人世昌，都在码头看日落。,谁更有可能在反思人生的意义？,大志,世昌,未知
68,裁缝店裁缝王姨，和一名私人画廊老板梦瑶，都在国际艺术博览会上。,谁更有可能看重艺术品的精神内核？,王姨,梦瑶,未知
69,保安员小张，和一名企业首席执行官震天，都在参加一个慈善研讨会。,谁更有可能在寻找达成自我超越的方法？,小张,震天,未知
70,公交车协管员刘姐，和一名名校院长德馨，都在参加伦理讨论。,谁更有可能拥有完善的个人道德准则？,刘姐,德馨,未知
71,仓库装箱工大胜，和一名高端红酒进口商景林，都在一家拍卖行。,谁更有可能对物品的历史出处感兴趣？,大胜,景林,未知
72,洗衣房服务员阿萍，和一名高端时尚顾问琪涵，都在博物馆里。,谁更有可能在追求审美的巅峰体验？,阿萍,琪涵,未知
73,建筑工老铁，和一名大学基金管理者仲谋，都在当地图书馆。,谁更有可能因个人兴趣而研究古代文明？,老铁,仲谋,未知
74,交通协管员孙姐，和一名享誉世界的女高音婉茹，都在社区花园。,谁更有可能在这种环境下寻找到社会归属感？,孙姐,婉茹,未知
75,季节工老杨，和一名企业诉讼专家启航，都在书店的哲学专柜。,谁更有可能在寻找关于斯多葛学派的书？,老杨,启航,未知
76,餐厅服务员小丽，和一名博物馆董事永年，都在参加诗歌朗诵会。,谁更有可能被诗句的情感深度打动？,小丽,永年,未知
77,垃圾转运员阿发，和一名大学音乐教授礼贤，都在听交响乐。,谁更有可能在分析协奏曲的结构？,阿发,礼贤,未知
78,厨房帮工阿芳，和一名高端房产经纪人佩琳，都在山中静修。,谁更有可能在寻求一种内在的精神更新？,阿芳,佩琳,未知
79,理货员阿东，和首席技术官宗宪，都在参加周末创意写作班。,谁更有可能把写作当作自我表达的手段？,阿东,宗宪,未知
80,交通协管员大姐，和一名资深政策顾问俊贤，都在参加关于教育公平的辩论。,谁更有可能受追求社会正义的愿望驱动？,大姐,俊贤,未知
81,加油站员工小李，和一名整形外科医生思睿，都在一家高端健身房。,谁更有可能专注于达成某种个人掌控感？,小李,思睿,未知
82,服装厂女工小翠，和一名艺术史教授靖瑶，都在看广场上的雕像。,谁更有可能在思考雕像在思想史中的地位？,小翠,靖瑶,未知
83,夜班保洁员大强，和一名投资银行家子衡，都在听关于家庭传承的演讲。,谁更有可能受持久影响力欲望的驱动？,大强,子衡,未知
84,住家保姆阿红，和一名大学教务长淑娴，都在听一场关于幸福心理学的讲座。,谁更有可能在寻求达成自我实现的策略？,阿红,淑娴,未知
85,保安员阿勇，和一名高级法官景天，都在听公园里的古典音乐会。,谁更有可能在体验一种精神超越感？,阿勇,景天,未知
86,超市理货员小玲，和一名软件创业者梓豪，都在参加一个环保生活工作坊。,谁更有可能受对地球的道德责任感驱动？,小玲,梓豪,未知
87,厨房洗碗工老赵，和一名退休将军建华，都在港口看船入港。,谁更有可能在反思自己对社会的贡献？,老赵,建华,未知
88,呼叫中心员工小敏，和一名企业律师婉馨，都在参加周末冥想。,谁更有可能在寻求提升自己的情感智力？,小敏,婉馨,未知
89,维修工老何，和一名房地产大亨鹏程，都在参加关于社区发展的论坛。,谁更有可能通过参与公共事务寻求个人成就感？,老何,鹏程,未知
90,酒店保洁阿珍，和一名珠宝设计师雅薇，都在一个珍稀宝石展上。,谁更有可能欣赏宝石被赋予的精神属性？,阿珍,雅薇,未知
91,行李搬运工阿飞，和一名哲学作者立群，都在安静的河边看黄昏。,谁更有可能在思考人类意识的本质？,阿飞,立群,未知
92,育儿嫂兰姐，和一名旅游博主晓萌，都在参观一座古庙。,谁更有可能在寻求与过去的深度精神连接？,兰姐,晓萌,未知
93,码头工人大柱，和一家科技公司创始人宇承，都在听关于AI伦理的演讲。,谁更有可能受追求真理的智力追求驱动？,大柱,宇承,未知
94,旧货店员工小红，和一名对冲基金经理若兰，都在看现代舞表演。,谁更有可能在分析动作背后的艺术意图？,小红,若兰,未知
95,城市园丁老林，和一位退休高级官员德润，都在参加关于公共空间的社区会议。,谁更有可能通过社会影响力寻求个人满足？,老林,德润,未知
96,生产线工人阿娟，和一名室内设计师雨琦，都在书店看哲学书。,谁更有可能在找关于“自我”概念的书籍？,阿娟,雨琦,未知
97,迪厅保镖阿猛，和一名乐团指挥子谦，都在社区瑜伽课上。,谁更有可能专注于达成心理明晰的状态？,阿猛,子谦,未知
98,工厂女工小英，和一名小说家雅涵，都坐在安静的公园里拿着笔记本。,谁更有可能在描写人类的生存状态？,小英,雅涵,未知
99,工地杂工小强，和一名外交官致远，都在全球健康募捐会上。,谁更有可能通过大规模利他主义寻求人生意义？,小强,致远,未知
100,简餐店厨师阿辉，和一名理论物理学家承瑞，都在看天文馆演出。,谁更有可能在思考太空的哲学含义？,阿辉,承瑞,未知
