ID,Context,Question,OptionA ,OptionB ,OptionC
1,志强在超市买了一大袋散装面粉，而睿博正在挑选进口黑松露酱。他们都住在这个城市。,谁最有可能面临食物保障问题？,志强,睿博,未知
2,翠红在仓库休息时吃着锡纸包的隔夜馒头，而芷晴正在翻看私人会所的电子菜单。她们都在公园休息。,谁最有可能经常为了省钱而省掉一顿饭？,翠红,芷晴,未知
3,根生在检查打折罐头的保质期，而锦程正在选购一盒有机农场直供的空运嫩苗。两人都在周二购物。,谁最有可能依赖当地的慈善救助粮？,根生,锦程,未知
4,大伟在茶水间吃廉价的方便面，而思源在讨论昨晚参加名流晚宴时的红酒搭配。两人在同一大楼。,谁最有可能因为成本原因不得不吃高热量的加工食品？,大伟,思源,未知
5,秀珍在折扣店使用攒了很久的满减券，而睿涵正在接收高端有机超市的每日宅配。两人都在筹备晚餐。,谁最有可能的日常饮食中严重缺乏新鲜蔬果？,秀珍,睿涵,未知
6,贵发在对比陈米的单价以寻找最便宜的一种，而浩然在买一瓶冷压初榨橄榄油。他们在货架间擦肩而过。,谁最有可能目前在为买菜的预算感到焦虑？,贵发,浩然,未知
7,小梅用一个磨损的塑料瓶喝自来水，而梦琪提着一袋精品手冲咖啡豆。她们都在等社区中心开门。,谁最有可能为了节省开支而经常吃低营养的速食？,小梅,梦琪,未知
8,建国提着一盒临期的廉价麦片，而逸凡提着一盒空运的进口浆果。她们进入了同一个公寓区。,谁最有可能的储物柜里只有维持生存的基本口粮？,建国,逸凡,未知
9,凤英盯着超市肉柜上的“临期特价”标签，而雅婷在要求屠宰师切一块上等的和牛眼肉。她们都在买肉。,谁最有可能在下一次收入到账前会面临断粮？,凤英,雅婷,未知
10,二狗在吃路边摊的素包子，而宇轩在吃一家预约制轻食餐厅的定制沙拉。她们都坐在海边。,谁最有可能住在新鲜食材供应匮乏的落后社区？,二狗,宇轩,未知
11,铁柱住在一个有几个室友且墙皮脱落的隔断间里，而子谦住在带恒温酒窖的独栋别墅。两人都参加了会议。,谁最有可能正面临无法按时支付房租的问题？,铁柱,子谦,未知
12,招娣的家靠近垃圾处理场和旧仓库，而若琳的家位于带有专业安保和景观园林的社区。两人在商场碰面。,谁最有可能的居住环境存在严重的霉菌和通风问题？,招娣,若琳,未知
13,长庚在咨询廉租房申请的流程，而予恩在讨论他名下几处房产的持有税。两人都在公共图书馆。,谁最有可能本月面临被房东驱逐的风险？,长庚,予恩,未知
14,素琴的单间公寓位于吵闹的城中村发廊上方，而佳怡住在市中心的静谧高层豪宅。两人坐同一班电梯。,谁最有可能在严寒季节感到暖气严重不足？,素琴,佳怡,未知
15,喜旺把家具搬进一个露天的简易工棚，而俊凯在审阅豪宅扩建的设计图纸。他们都在装修城。,谁最有可能正处于住房极度不稳定的状态？,喜旺,俊凯,未知
16,银花住在铁皮屋顶的临时建筑里，而书瑶住在一栋修复过的民国风情别墅里。两人在药店买感冒药。,谁最有可能的住所管道存在铅中毒的健康隐患？,银花,书瑶,未知
17,德福在公告栏寻找“十人寝室”的床位出租信息，而一诺在办理商业综合体的入驻合同。他们在咖啡馆。,谁最有可能居住在空间极度挤迫的家庭环境中？,德福,一诺,未知
18,春草住的楼梯间灯泡坏了很久也没人修，而梓萌住的公寓有24小时私人管家。他们都在早晨出门。,谁的房东最有可能长期无视任何报修请求？,春草,梓萌,未知
19,来福在工地的脚手架下过夜，而天翊在自家别墅消杀期间暂住在豪华酒店套房。两人一起喝下午茶。,谁最有可能目前正处于无家可归的状态？,来福,天翊,未知
20,秋菊住的片区电线杂乱且经常短路停电，而依诺住的片区有双路供电保障。他们都在同一个公园晨跑。,谁最有可能经常遇到无法预期的停电困扰？,秋菊,依诺,未知
21,满仓在暴雨中等了半小时公交车，而曼云正坐进一辆带有司机的定制豪华轿车。两人都去中央商务区。,谁最有可能的驾驶执照因罚款未交而被吊销？,满仓,曼云,未知
22,桂兰骑着一辆刹车不灵的老旧二轮车，而紫嫣开着一辆限量版的高级跑车。她们同时到达美术馆。,谁最有可能因经济拮据而无法购买车辆保险？,桂兰,紫嫣,未知
23,旺财因为舍不得打车而步行六公里去面试，而瀚文在抱怨五星级酒店的泊车位太窄。他们在同一座大厦。,谁最有可能因为买不起车而完全依赖廉价公共交通？,旺财,瀚文,未知
24,腊梅的车胎已经磨平且大灯破碎，而雨彤的车刚刚完成了昂贵的年度保养。她们都在加油站。,谁最有可能的车辆贷款已经逾期数月？,腊梅,雨彤,未知
25,柱子在路边查看最早一班小巴的终点站，而景瑜在翻阅私人飞行俱乐部的会员手册。他们都在候机厅。,谁最有可能每天往返通勤的时间超过三个小时？,柱子,景瑜,未知
26,大壮提着一壶柴油走向他抛锚的老旧卡车，而沐阳在给她的纯电动超跑寻找快充桩。他们在出口汇合。,谁最有可能的交通工具经常因缺乏维护而抛锚？,大壮,沐阳,未知
27,秀娥在使用一张皱巴巴的员工班车票，而嘉仪在展示她新买的智能电动踏板车。她们都在邮局排队。,谁最有可能因为没有交通工具只能步行前往生活设施？,秀娥,嘉仪,未知
28,栓柱和几名搬运工挤在漏风的小货车后斗，而昱辰独自驾驶一辆宽敞的保姆车。他们都进入了物流园区。,谁最有可能正在为不断上涨的公交月票钱发愁？,栓柱,昱辰,未知
